buffer	name	date	treatment	n_root	n_cells	n_singlet	n_unstained	n_dead_like	pc_dead_like	pc_unstained
PBS	0108pb_0_b	2024-01-08	0	30000	29908	18676	2284	1078	0.05772113943028486	0.122295994859713
PBS	0108pb_10_b	2024-01-08	10	21577	21215	13098	456	608	0.046419300656588794	0.03481447549244159
PBS	0108pb_100_b	2024-01-08	100	16553	16479	10554	2326	858	0.08129619101762366	0.2203903733181732
PBS	0108pb_1000_b	2024-01-08	1000	12218	12150	7914	0	7898	0.9979782663634066	0
Saline	0108sa_0_b	2024-01-08	0	30000	29860	18094	1324	284	0.01569581076599978	0.07317342765557644
Saline	0108sa_10_b	2024-01-08	10	19504	19271	11450	291	368	0.032139737991266376	0.02541484716157205
Saline	0108sa_100_b	2024-01-08	100	12187	12107	7800	1901	399	0.051153846153846154	0.24371794871794872
Saline	0108sa_1000_b	2024-01-08	1000	9218	9161	6056	3	6044	0.9980184940554822	4.953764861294584e-4
SD media	0108sc_0_b	2024-01-08	0	30000	29796	12706	5691	131	0.010310089721391469	0.4478986305682355
SD media	0108sc_10_b	2024-01-08	10	17261	16815	6281	1032	176	0.028021015761821366	0.16430504696704346
SD media	0108sc_100_b	2024-01-08	100	12369	12036	5707	1795	293	0.0513404590853338	0.31452602067636237
SD media	0108sc_1000_b	2024-01-08	1000	9074	8670	4470	3	4458	0.9973154362416108	6.711409395973154e-4
ddH2O	0108w_0_b	2024-01-08	0	30000	29766	18114	8	9817	0.5419564977365574	4.4164734459534063e-4
ddH2O	0108w_10_b	2024-01-08	10	12572	12302	7641	4	5997	0.784844915586965	5.234916895694281e-4
ddH2O	0108w_100_b	2024-01-08	100	7223	7182	4426	65	3039	0.6866244916403073	0.014685946678716675
ddH2O	0108w_1000_b	2024-01-08	1000	6775	6711	4245	1	4109	0.967962308598351	2.3557126030624264e-4
PBS	0109pb_0_b	2024-01-09	0	30000	29723	18511	723	1916	0.10350602344551887	0.039057857490141
PBS	0109pb_10_b	2024-01-09	10	11109	10885	6763	96	295	0.04361969540144906	0.01419488392725122
PBS	0109pb_100_b	2024-01-09	100	13015	12910	8139	256	361	0.0443543432854159	0.03145349551541959
PBS	0109pb_1000_b	2024-01-09	1000	9548	9401	5978	1	5949	0.9951488792238207	1.6728002676480428e-4
Saline	0109sa_0_b	2024-01-09	0	30000	29616	18777	140	567	0.030196517015497682	0.007455930127283379
Saline	0109sa_10_b	2024-01-09	10	15265	14547	8921	72	1420	0.15917498038336508	0.008070844075776257
Saline	0109sa_100_b	2024-01-09	100	12739	12512	7860	190	825	0.1049618320610687	0.024173027989821884
Saline	0109sa_1000_b	2024-01-09	1000	11647	10604	6759	3	6372	0.9427430093209055	4.438526409232135e-4
SD media	0109sc_0_b	2024-01-09	0	30000	29496	11709	3405	56	0.004782645827995559	0.2908019472200871
SD media	0109sc_10_b	2024-01-09	10	15216	13872	4975	509	64	0.012864321608040201	0.10231155778894473
SD media	0109sc_100_b	2024-01-09	100	15277	14663	8558	546	157	0.01834540780556205	0.0637999532601075
SD media	0109sc_1000_b	2024-01-09	1000	12946	11972	5705	7	5644	0.989307624890447	0.001226993865030675
ddH2O	0109w_0_b	2024-01-09	0	30000	29713	19950	45	14044	0.7039598997493735	0.002255639097744361
ddH2O	0109w_10_b	2024-01-09	10	10613	10350	6716	7	3553	0.5290351399642644	0.001042287075640262
ddH2O	0109w_100_b	2024-01-09	100	8884	8677	5555	33	3187	0.5737173717371737	0.005940594059405941
ddH2O	0109w_1000_b	2024-01-09	1000	7259	6614	3738	3	3416	0.9138576779026217	8.025682182985554e-4
PBS	0110pb_0_b	2024-01-10	0	30000	29678	19233	954	778	0.0404513076483128	0.049602246139447824
PBS	0110pb_10_b	2024-01-10	10	12996	12648	7345	260	149	0.020285908781484004	0.035398230088495575
PBS	0110pb_100_b	2024-01-10	100	12292	12127	7526	126	572	0.0760031889449907	0.01674196120116928
PBS	0110pb_1000_b	2024-01-10	1000	13329	12667	7874	13	7741	0.9831089662179324	0.001651003302006604
Saline	0110sa_0_b	2024-01-10	0	30000	29362	18220	368	1661	0.0911635565312843	0.020197585071350166
Saline	0110sa_10_b	2024-01-10	10	14779	14445	8490	119	618	0.07279151943462897	0.014016489988221437
Saline	0110sa_100_b	2024-01-10	100	14989	14525	8671	133	1331	0.15350017299042787	0.015338484603851921
Saline	0110sa_1000_b	2024-01-10	1000	22086	20508	12363	26	11496	0.9298713904392137	0.002103049421661409
SD media	0110sc_0_b	2024-01-10	0	30000	29573	12325	4634	74	0.006004056795131846	0.3759837728194726
SD media	0110sc_10_b	2024-01-10	10	15050	14257	5419	630	60	0.011072153533862336	0.11625761210555453
SD media	0110sc_100_b	2024-01-10	100	13320	12646	5994	208	82	0.013680347013680347	0.03470136803470137
SD media	0110sc_1000_b	2024-01-10	1000	30000	28992	16497	3	16314	0.988907074013457	1.818512456810329e-4
ddH2O	0110w_0_b	2024-01-10	0	30000	29100	17988	32	11710	0.6509895485879476	0.00177896375361352
ddH2O	0110w_10_b	2024-01-10	10	11721	10957	6713	17	3701	0.5513183375539997	0.0025323998212423656
ddH2O	0110w_100_b	2024-01-10	100	11188	10338	6415	15	3738	0.5826968043647701	0.002338269680436477
ddH2O	0110w_1000_b	2024-01-10	1000	13293	12182	7066	2	6961	0.9851401075573167	2.830455703368242e-4
