dye	time	FSC.H	BL1.H	BL3.H	date	name
PI	0	326889	68	673	2024-05-06	050624_PI_Timecourse_Experiment_Tubes_0.fcs
PI	10	323527	69	1705	2024-05-06	050624_PI_Timecourse_Experiment_Tubes_10.fcs
PI	15	324696	69	1740	2024-05-06	050624_PI_Timecourse_Experiment_Tubes_15.fcs
PI	20	324058	69	1703	2024-05-06	050624_PI_Timecourse_Experiment_Tubes_20.fcs
PI	25	320289	69	1686	2024-05-06	050624_PI_Timecourse_Experiment_Tubes_25.fcs
PI	30	317721.5	69	1655	2024-05-06	050624_PI_Timecourse_Experiment_Tubes_30.fcs
PI	35	320517.5	69	1649	2024-05-06	050624_PI_Timecourse_Experiment_Tubes_35.fcs
PI	40	316238	69	1596	2024-05-06	050624_PI_Timecourse_Experiment_Tubes_40.fcs
PI	45	313885	68	1573	2024-05-06	050624_PI_Timecourse_Experiment_Tubes_45.fcs
PI	5	326514	69	1701	2024-05-06	050624_PI_Timecourse_Experiment_Tubes_5.fcs
PI	50	314969	68	1509	2024-05-06	050624_PI_Timecourse_Experiment_Tubes_50.fcs
PI	55	322549	69	1398	2024-05-06	050624_PI_Timecourse_Experiment_Tubes_55.fcs
PI	0	316831	67	590	2024-05-07	050724_PI_Timecourse_Experiment_Tubes_0.fcs
PI	10	314659	68	1681	2024-05-07	050724_PI_Timecourse_Experiment_Tubes_10.fcs
PI	15	315542	68	1671	2024-05-07	050724_PI_Timecourse_Experiment_Tubes_15.fcs
PI	20	313913	68	1591	2024-05-07	050724_PI_Timecourse_Experiment_Tubes_20.fcs
PI	25	310663.5	68	1665	2024-05-07	050724_PI_Timecourse_Experiment_Tubes_25.fcs
PI	30	311466	67	1631	2024-05-07	050724_PI_Timecourse_Experiment_Tubes_30.fcs
PI	35	310565	68	1593	2024-05-07	050724_PI_Timecourse_Experiment_Tubes_35.fcs
PI	40	308301.5	68	1537	2024-05-07	050724_PI_Timecourse_Experiment_Tubes_40.fcs
PI	45	306630	68	1518	2024-05-07	050724_PI_Timecourse_Experiment_Tubes_45.fcs
PI	5	314543	68	1655	2024-05-07	050724_PI_Timecourse_Experiment_Tubes_5.fcs
PI	50	307489	68	1451	2024-05-07	050724_PI_Timecourse_Experiment_Tubes_50.fcs
PI	55	304903	67	1232	2024-05-07	050724_PI_Timecourse_Experiment_Tubes_55.fcs
PI	0	339170	69	786	2024-05-08	050824_PI_Timecourse_Experiment_Tubes_0.fcs
PI	10	337792	70	1786	2024-05-08	050824_PI_Timecourse_Experiment_Tubes_10.fcs
PI	15	337961	70	1779	2024-05-08	050824_PI_Timecourse_Experiment_Tubes_15.fcs
PI	20	337070	70	1760	2024-05-08	050824_PI_Timecourse_Experiment_Tubes_20.fcs
PI	25	333072	70	1746	2024-05-08	050824_PI_Timecourse_Experiment_Tubes_25.fcs
PI	30	333255	70	1714	2024-05-08	050824_PI_Timecourse_Experiment_Tubes_30.fcs
PI	35	331099	69	1690	2024-05-08	050824_PI_Timecourse_Experiment_Tubes_35.fcs
PI	40	326017	69	1614	2024-05-08	050824_PI_Timecourse_Experiment_Tubes_40.fcs
PI	45	322429	68	1578	2024-05-08	050824_PI_Timecourse_Experiment_Tubes_45.fcs
PI	5	334861	70	1775	2024-05-08	050824_PI_Timecourse_Experiment_Tubes_5.fcs
