Date	Treatment	Dye	name
021424	mock	Both	021424_mock_Both
021424	mock	PI	021424_mock_PI
021424	10	Both	021424_10 mM_Both
021424	10	PI	021424_10 mM_PI
021424	100	Both	021424_100 mM_Both
021424	100	PI	021424_100 mM_PI
021424	1000	Both	021424_1000 mM_Both
021424	1000	PI	021424_1000 mM_PI
021424	5C	Both	021424_5C_Both
021424	5C	PI	021424_5C_PI
021624	mock	Both	021624_mock_Both
021624	mock	PI	021624_mock_PI
021624	10	Both	021624_10 mM_Both
021624	10	PI	021624_10 mM_PI
021624	100	Both	021624_100 mM_Both
021624	100	PI	021624_100 mM_PI
021624	1000	Both	021624_1000 mM_Both
021624	1000	PI	021624_1000 mM_PI
021624	5C	Both	021624_5C_Both
021624	5C	PI	021624_5C_PI
021724	mock	Both	021724_mock_Both
021724	mock	PI	021724_mock_PI
021724	10	Both	021724_10 mM_Both
021724	10	PI	021724_10 mM_PI
021724	100	Both	021724_100 mM_Both
021724	100	PI	021724_100 mM_PI
021724	1000	Both	021724_1000 mM_Both
021724	1000	PI	021724_1000 mM_PI
021724	5C	Both	021724_5C_Both
021724	5C	PI	021724_5C_PI
