sample	Date	Treatment	Dye	p_live	p_intermediate	p_dead	FSC_live	FSC_intermediate	BL1_live	BL1_intermediate
021424_mock_Both	021424	mock	Both	0.9903106736388804	0.0027683789603199014	0.00692094740079973	430263	329283	228	12162
021424_mock_PI	021424	mock	PI	0.9895204652693954	0	0.01047953473060459	425501	NA	78	NA
021424_10 mM_Both	021424	10	Both	0.9778048522089204	0.006568492425045026	0.015626655366034536	517599	494711	713	6087
021424_10 mM_PI	021424	10	PI	0.9721275763838463	0	0.02787242361615372	502406	NA	87	NA
021424_100 mM_Both	021424	100	Both	0.38344159191669247	0.5561913599340138	0.06036704814929372	367991	393593	114	9971
021424_100 mM_PI	021424	100	PI	0.9834329453706616	0	0.016567054629338385	386092.5	NA	73	NA
021424_1000 mM_Both	021424	1000	Both	7.566585956416465e-4	5.0443906376109764e-5	0.9991928974979822	174759	338396	197	8777
021424_1000 mM_PI	021424	1000	PI	0.001701613788560764	0	0.9982983862114392	345193	NA	85	NA
021424_5C_Both	021424	5C	Both	0.9820433104631218	0.003698542024013722	0.014258147512864512	484156	382353	287	16353
021424_5C_PI	021424	5C	PI	0.9845215519450566	0	0.015478448054943361	449659	NA	80	NA
021624_mock_Both	021624	mock	Both	0.9882352941176471	0.007877688520342058	0.003887017362010841	396763	498435	833	3128.5
021624_mock_PI	021624	mock	PI	0.9953403674147073	0	0.004659632585292672	397796	NA	71	NA
021624_10 mM_Both	021624	10	Both	0.9712848799480857	0.01746701276227558	0.011248107289638765	496428	633893	1399	3309
021624_10 mM_PI	021624	10	PI	0.9886690249834181	0	0.011330975016581868	501483	NA	77	NA
021624_100 mM_Both	021624	100	Both	0.6662267790072074	0.24317328190031468	0.09059993909247793	361539	419805	2151	6494
021624_100 mM_PI	021624	100	PI	0.9634382693415746	0	0.036561730658425384	375386	NA	69	NA
021624_1000 mM_Both	021624	1000	Both	0.0014082303238929744	1.0431335732540551e-4	0.9984874563187817	394043	396936	794	6663.5
021624_1000 mM_PI	021624	1000	PI	0.0030092352391823183	0	0.9969907647608177	362948	NA	72	NA
021624_5C_Both	021624	5C	Both	0.9858276044420942	0.006081438392384982	0.008090957165520855	477411.5	599072	851	3184
021624_5C_PI	021624	5C	PI	0.9908074675140441	0	0.009192532485955862	484348	NA	77	NA
021724_mock_Both	021724	mock	Both	0.7117484831770546	0.27330391616105904	0.014947600661886329	408973	483261	2214	5059
021724_mock_PI	021724	mock	PI	0.9948136662567503	0	0.005186333743249727	427713	NA	73	NA
021724_10 mM_Both	021724	10	Both	0.8167981029063034	0.1722825787238736	0.010919318369823017	494474	639691	2312	3993
021724_10 mM_PI	021724	10	PI	0.9905592668249323	0	0.009440733175067662	520698	NA	78	NA
021724_100 mM_Both	021724	100	Both	0.5004502357116373	0.406642300969331	0.09290746331903171	355805.5	423583	2062	7404
021724_100 mM_PI	021724	100	PI	0.9870311770503709	0	0.012968822949629089	382225	NA	70	NA
021724_1000 mM_Both	021724	1000	Both	3.857174344280361e-4	5.5102490632576594e-5	0.9995591800749394	149543	147886	191	1537
021724_1000 mM_PI	021724	1000	PI	0.0022417934347477983	0	0.9977582065652522	337028	NA	74	NA
021724_5C_Both	021724	5C	Both	0.7241888743678618	0.2104096823683164	0.06540144326382177	455457	579747	2248	3946
021724_5C_PI	021724	5C	PI	0.9663907560691073	0	0.03360924393089271	488484	NA	78	NA
